variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,1,17.09375,12.4765625,,3.7429687499999997,,2.996966941282153e-08,0.3,5e-05,21.55885124206543,0.04638466070255215,14
sa,2,16.5,13.84375,,4.153125,,5.993933882564306e-08,0.3,0.0001,22.957286834716797,0.04355915431991579,16
sa,3,16.875,13.84375,,4.153125,,8.99090082384646e-08,0.3,0.00015000000000000001,21.785398483276367,0.04590230473716849,16
sa,4,17.03125,12.8125,,3.84375,,1.1988049664068967e-07,0.3,0.0002,22.787498474121094,0.04388371111184768,15
sa,5,17.234375,13.421875,,4.0265625,,1.498501660535112e-07,0.3,0.00025,23.44573211669922,0.0426516858173838,15
sa,6,16.171875,13.21875,,3.9656249999999997,,1.7981983546633273e-07,0.3,0.00030000000000000003,21.07012939453125,0.047460553339532405,15
sa,7,15.1875,14.109375,,4.2328125,,2.0978950487915426e-07,0.3,0.00035000000000000005,22.95886993408203,0.0435561507544201,16
sa,8,15.875,12.109375,,3.6328125,,2.3976099328137934e-07,0.3,0.0004,19.342754364013672,0.051698945309487834,14
sa,9,17.203125,14.15625,,4.246875,,2.6973066269420087e-07,0.3,0.00045,25.184839248657227,0.03970642774911961,16
sa,10,17.0625,12.96875,,3.890625,,2.997003321070224e-07,0.3,0.0005,22.96161651611328,0.04355094073181875,15
sa,11,16.3125,12.9375,,3.8812499999999996,,3.2967000151984394e-07,0.3,0.00055,23.759862899780273,0.04208778494295301,15
sa,12,16.96875,13.5625,,4.06875,,3.5963967093266547e-07,0.3,0.0006000000000000001,21.974313735961914,0.04550767828364336,16
sa,13,14.296875,13.953125,,4.1859375,,3.8961115933489054e-07,0.3,0.00065,18.807756423950195,0.05316955289396341,16
sa,14,17.96875,13.21875,,3.9656249999999997,,4.195808287477121e-07,0.3,0.0007000000000000001,24.92820930480957,0.04011519591208917,15
sa,15,17.359375,14.3125,,4.29375,,4.495504981605336e-07,0.3,0.00075,20.718040466308594,0.04826711298427025,16
sa,16,15.8125,13.328125,,3.9984374999999996,,4.795201675733551e-07,0.3,0.0008,21.66666030883789,0.04615385969715403,16
